Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","15565","A","Official figure",""
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","7812.82","A","Official figure",""
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","18636","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","4850.97","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","4188","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","3.67","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","12","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","4821.33","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","13824","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","4364053.23","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","8686206","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","79739.24","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","129852","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","22499.69","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","62069","A","Official figure",""
"TCL","Crops and livestock products","854","Burkina Faso","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","49.72","A","Official figure",""
"TCL","Crops and livestock products","854","Burkina Faso","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","120","A","Official figure",""
"TCL","Crops and livestock products","108","Burundi","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","121.07","A","Official figure",""
"TCL","Crops and livestock products","108","Burundi","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","146","A","Official figure",""
